Time,Counts
1679698475.430392,3
1679698485.4305294,5
1679698495.430649,3
1679698505.4307635,3
1679698515.4308753,1
1679698525.4309907,2
1679698535.4311044,0
1679698545.4312203,2
1679698555.4313316,3
1679698565.431444,4
1679698575.4315567,2
1679698585.431669,2
