Time,Counts
1679696963.4415746,5
1679696973.4417112,7
1679696983.4418228,6
1679696993.4419475,8
1679697003.442058,9
1679697013.442169,6
1679697023.4422777,3
1679697033.442383,9
1679697043.4424908,7
1679697053.4426203,7
1679697063.4427385,11
1679697073.4428532,9
