Time,PM10,PM25,PM100,Temp,Gas,Relative Humidity,Pressure,Altitude
1677279041.6641586,0,1,1,22.2503125,95219,32.43073967466892,996.1857818447851,143.04989886734813
1677279042.8575552,0,1,1,22.26984375,16856,32.47184778435665,996.1952366260614,142.97009162701042
1677279044.0503216,0,1,1,22.3067578125,20475,32.452615994624345,996.1985599488296,142.94203980499563
1677279045.2429135,0,1,1,22.342890625,22254,32.41081598868366,996.203952073365,142.89652560352366
1677279046.4358096,0,1,1,22.376875,24181,32.33509814014846,996.2141927426202,142.81008603421253
1677279047.6340346,0,1,1,22.4044140625,24919,32.28694197641953,996.220256489269,142.75890342468446
1677279048.8327978,0,1,1,22.4251171875,25392,32.204486898037395,996.2163693570442,142.79171373263222
1677279050.0319653,0,1,1,22.442890625,25899,32.1498896814242,996.2177066548552,142.78042592560013
1677279051.230745,0,1,1,22.4575390625,26270,32.10626238989295,996.2154198548943,142.79972825783165
1677279052.42926,0,1,1,22.4708203125,26490,32.045690518557194,996.2176153979457,142.78119620268473
1677279053.6272948,0,1,1,22.4817578125,26813,32.02981722870749,996.2124089272749,142.8251428333721
1677279054.824797,0,1,1,22.4915234375,26911,32.03067479967689,996.2154251688511,142.79968340394626
1677279056.0176666,0,1,1,22.4977734375,27126,32.031223691780085,996.2141528970955,142.81042236142048
1677279057.2130017,0,1,1,22.5020703125,27498,32.03160107623537,996.2129586965242,142.82050234782875
1677279058.4057667,0,1,1,22.506171875,27636,32.020739069718374,996.2233558690127,142.73274241208495
1677279059.6044354,0,1,1,22.5087109375,27757,32.03779582756063,996.2242762021232,142.72497414592738
1677279060.802455,0,1,1,22.510078125,27898,32.06036413746735,996.2180888467545,142.77719993856897
1677279061.9998043,0,1,1,22.5102734375,28111,32.065993905482856,996.2167182254947,142.78876901732852
1677279063.1985533,0,1,1,22.5091015625,28165,32.03783014350516,996.2164245170711,142.79124813995645
1677279064.3926163,0,0,0,22.508515625,28383,32.03216718520552,996.2171294023065,142.7852983730898
1677279065.5878239,0,0,0,22.5096875,28529,32.05471742744163,996.2106091725379,142.84033419561504
1677279066.7832525,0,0,0,22.51125,28753,32.06607975945306,996.2047546373601,142.8897512853201
1677279067.977015,0,0,0,22.514765625,28697,32.11691259257755,996.2022286568932,142.9110727095973
1677279069.170646,0,0,0,22.5173046875,28884,32.15082864940653,996.1980383080493,142.94644291557987
1677279070.3636768,0,0,0,22.520625,28998,32.162353892454206,996.2019933729736,142.91305870829024
1677279071.5623035,0,0,0,22.5247265625,29229,32.1570989155795,996.1936516654819,142.98347014118647
1677279072.754575,0,0,0,22.528828125,29268,32.12376567533136,996.1989380581578,142.93884822826362
