Time,PM10,PM25,PM100,Temp,Gas,Relative Humidity,Pressure,Altitude
1677279664.04841,0,0,0,22.850703125,32031,31.92756276211217,996.0708858520786,144.0197780491066
1677279665.2410402,0,0,0,22.8688671875,4278,31.912327307441934,996.069443260487,144.03195606922154
1677279666.4336298,0,0,0,22.910078125,7156,31.848635727534514,996.0748705388536,143.98614033145904
1677279667.6268747,0,0,0,22.949921875,9771,31.740004611430614,996.0728484264389,144.00321047926326
1677279668.8195813,0,0,0,22.9829296875,12676,31.608446301758597,996.0659950944712,144.06106473643356
1677279670.0173166,0,0,0,23.0098828125,14806,31.476468133297715,996.0658723410165,144.0621009958927
1677279671.2100375,0,0,0,23.035859375,16577,31.406013090409118,996.06749292285,144.04842038514906
1677279672.402679,0,0,0,23.056953125,18193,31.474965866800567,996.0676146318951,144.0473929437344
1677279673.5952578,0,0,0,23.06515625,19866,31.58202206744471,996.0594208921582,144.11656294794133
1677279674.7879322,0,0,0,23.0676953125,21143,31.571045733930752,996.0586301733457,144.12323807127498
1677279675.9856768,0,0,0,23.0758984375,22254,31.554965630043974,996.0504357980566,144.19241394593456
1677279677.1830869,0,0,0,23.0801953125,24449,31.560938406695865,996.0492285057132,144.20260579339208
1677279678.3811727,0,0,0,23.0704296875,25584,31.520904692090845,996.0411225101545,144.2710360981375
1677279679.5793138,0,0,0,23.064765625,26364,31.430892936863806,996.0451161359867,144.23732210365904
1677279680.7773747,0,0,0,23.0471875,27515,31.339907196985493,996.040753833253,144.27414845607709
1677279681.9759908,0,0,0,23.0118359375,28622,31.19160516241497,996.0351028195623,144.32185423932614
1677279683.1741664,0,0,0,22.9766796875,29248,30.976582081006363,996.0246654515947,144.40996693862388
1677279684.372833,0,0,0,22.9493359375,30086,30.76257592085744,996.0155975044595,144.4865195365932
1677279685.5713584,0,0,0,22.9204296875,30587,30.61548272204467,996.0123885536443,144.5136099842838
1677279686.7698066,0,0,0,22.88703125,31149,30.46262409396955,996.0100471747642,144.53337630318816
1677279687.968291,0,0,0,22.8565625,31800,30.35458019252102,996.010986964905,144.5254424303896
1677279689.1668828,0,0,0,22.820234375,32313,30.235050776055818,996.0155761599777,144.4866997297012
1677279690.3649724,0,0,0,22.7815625,32940,30.143139430170738,996.0144623289004,144.4961028521248
1677279691.562896,0,0,0,22.74640625,33238,30.040523157277452,996.0176269426186,144.4693867494632
1677279692.7612562,0,0,0,22.71125,33746,29.9933174328505,996.0156737563972,144.48587580707155
1677279693.959822,0,0,0,22.6719921875,34191,29.951324176715804,996.0169511197043,144.47509213334504
1677279695.1582594,0,0,0,22.62921875,34431,29.91458747283908,996.0207507957451,144.44301482071356
1677279696.3567395,0,0,0,22.58,34950,29.871804993176656,996.0203748664661,144.44618845554692
1677279697.5551445,0,0,0,22.5364453125,35145,29.823988026006685,996.024528820912,144.4111203855541
1677279698.7536292,0,0,0,22.4993359375,35399,29.809868582142112,996.0226222276027,144.4272160089907
1677279699.9520304,0,0,0,22.4606640625,35541,29.828766567708012,996.0265639556409,144.39393963200374
1677279701.1502912,0,0,0,22.428046875,35976,29.842641641130303,996.0237840165048,144.41740808495246
1677279702.3486965,0,0,0,22.4020703125,36153,29.868117016730892,996.0289100048852,144.37413415105615
1677279703.5471826,0,0,0,22.373359375,36542,29.915474960193368,996.0208570754479,144.4421175963715
1677279704.7456408,0,0,0,22.34484375,36332,29.97391857372995,996.0216492953348,144.43542959584903
1677279705.943487,0,0,0,22.3188671875,36542,30.032592311768973,996.0165473698388,144.47850064308315
1677279707.1417847,0,0,0,22.2899609375,36756,30.096575224813176,995.996232381468,144.65000390477383
1677279708.3388522,0,0,0,22.267890625,36817,30.139010216014405,995.9841605585218,144.7519180298244
1677279709.5314002,0,0,0,22.249140625,37002,30.181732020629457,995.9658268904813,144.9066985330393
1677279710.723985,0,0,0,22.23234375,37064,30.219089573323476,995.9371996131468,145.14838661017384
1677279711.9165044,0,0,0,22.2176953125,37252,30.267713041596398,995.9173422858157,145.316036987597
1677279713.1093683,0,0,0,22.1985546875,37410,30.304893232076388,995.8847209548632,145.59145648524427
1677279714.3078659,0,0,0,22.1821484375,37442,30.314602435058728,995.8465444861504,145.9137868792253
1677279715.5062118,0,0,0,22.1721875,37795,30.33593420661672,995.8108402298884,146.2152530190962
1677279716.7046175,0,0,0,22.1630078125,37730,30.373962349328146,995.7798731638964,146.47672814479114
1677279717.903066,0,0,0,22.16515625,37474,30.47395443852626,995.7716166269223,146.546444580673
1677279719.1013978,0,0,0,22.1594921875,37827,30.562258732915957,995.7517489183427,146.71420518947443
1677279720.2997959,0,0,0,22.15578125,37570,30.60080480414436,995.7198870682067,146.98324858602717
1677279721.4977808,0,0,0,22.153828125,37763,30.639509280119036,995.7029385973473,147.1263653429506
1677279722.6962252,0,0,0,22.15109375,37990,30.67260324074453,995.6761463802503,147.35260896392208
1677279723.8949263,0,0,0,22.14484375,38188,30.677630153796912,995.6518762234105,147.55755960878793
1677279725.0929637,0,0,0,22.1387890625,38089,30.693784208473755,995.6177243460247,147.84596382543882
1677279726.2909615,0,0,0,22.1380078125,38023,30.727055019224828,995.5670214743114,148.27415189850794
1677279727.489081,0,0,0,22.14015625,38320,30.7716983107525,995.5196079598453,148.67457717535902
1677279728.687075,0,0,0,22.142890625,38521,30.82196618585332,995.4970271461991,148.86528621760107
1677279729.885035,0,0,0,22.147578125,38929,30.794563274343115,995.477773713118,149.02789622403662
1677279731.0829887,0,0,0,22.1520703125,39032,30.767148710402093,995.4701046677568,149.09266790213218
