Time,PM10,PM25,PM100,Temp,Gas,Relative Humidity,Pressure,Altitude
1676678686.2288537,0,0,0,23.4001171875,15450,17.750483305914987,1006.4794864866,56.52226124448916
1676678687.4215882,0,0,0,23.4192578125,2529,17.761570443716117,1006.4919144553995,56.41822720029771
1676678688.6144001,0,0,0,23.458515625,3946,17.71834945056142,1006.4962609100608,56.38184344261394
1676678689.8070862,0,0,0,23.498359375,4991,17.670136622745808,1006.5067283367005,56.29422213402934
1676678691.0000827,0,0,0,23.53390625,6138,17.606619195016933,1006.5046834782165,56.311339289502925
1676678692.198393,0,0,0,23.563984375,7106,17.54786597207907,1006.5085944264376,56.27860144527834
1676678693.397036,0,0,0,23.5903515625,7942,17.514067627935454,1006.5095370274387,56.27071111721951
1676678694.5958798,0,0,0,23.6128125,8780,17.47002092381647,1006.5157114716166,56.2190262042634
1676678695.7941468,0,0,0,23.6321484375,9492,17.435868859266222,1006.521634006171,56.169450212535104
1676678696.992904,0,0,0,23.6485546875,10196,17.406592671014113,1006.512277234366,56.247773416579136
1676678698.1913445,0,0,0,23.661640625,10861,17.36208647630953,1006.5159904838962,56.216690659952896
1676678699.3899992,0,0,0,23.67296875,11948,17.347617938313295,1006.5200962406412,56.18232242392162
1676678700.588239,0,0,0,23.683125,12575,17.323051326969576,1006.5204802781108,56.1791077506238
1676678701.7868783,0,0,0,23.692890625,13216,17.29846851783692,1006.5167780955192,56.21009775638834
1676678702.9852831,0,0,0,23.7001171875,13727,17.278774805407465,1006.5155404924387,56.2204574298662
1676678704.1836736,0,0,0,23.705,14278,17.248929918538956,1006.5085673034009,56.27882848698899
1676678705.381899,0,0,0,23.7110546875,14816,17.229182541714586,1006.5053151742557,56.30605146858941
1676678706.5801973,0,0,0,23.7157421875,15268,17.214381481889358,1006.5133712698414,56.23861548793273
1676678707.7782195,0,0,0,23.7208203125,15703,17.189574973736704,1006.5118550586717,56.251307357967164
1676678708.9763267,0,0,0,23.724921875,16235,17.169735234742156,1006.513782243879,56.23517531737249
1676678710.174387,0,0,0,23.7282421875,16602,17.15988216745144,1006.5058302214492,56.30174009745947
1676678711.3729286,0,0,0,23.7344921875,17078,17.155193213524242,1006.4994983572907,56.35474316309926
1676678712.571688,0,0,0,23.74015625,17389,17.140450596279912,1006.5075251879273,56.28755183833113
1676678713.7699277,0,0,0,23.745625,17810,17.130710449346513,1006.503264952177,56.32321354133389
1676678714.968942,0,0,0,23.7512890625,18268,17.13100297585295,1006.4993401660828,56.35606736094316
1676678716.1676536,0,0,0,23.7565625,18545,17.11123193699442,1006.5015733540964,56.337373652721055
1676678717.3658354,0,0,0,23.761640625,18879,17.10648358223553,1006.5000560322302,56.350074940701
1676678718.5640602,0,0,0,23.7657421875,19292,17.111705598083393,1006.5036899139399,56.31965625379
1676678719.762305,0,0,0,23.7700390625,19618,17.126960101235472,1006.5059520096133,56.30072063002677
1676678720.9603584,0,0,0,23.774140625,19866,17.122160729051732,1006.5078784043934,56.28459512934296
1676678722.1584013,0,0,0,23.7778515625,20175,17.13237505444739,1006.5091334528524,56.27408936017418
1676678723.3502898,0,0,0,23.78390625,20437,17.142711613236024,1006.512708776447,56.24416107244244
1676678724.5431542,0,0,0,23.7895703125,20823,17.15302918840953,1006.5019530371538,56.33419538166387
1676678725.7359893,0,0,0,23.7942578125,21022,17.14825908031435,1006.5014710871012,56.338229714869136
1676678726.9290082,0,0,0,23.7993359375,21307,17.148521683409196,1006.5016603082,56.336645772615334
1676678728.1275465,0,0,0,23.8032421875,21684,17.153736378698476,1006.501543095212,56.33762694543518
1676678729.3262544,0,0,0,23.8071484375,21856,17.143913197309903,1006.5014258128468,56.33860869909462
1676678730.524314,0,0,0,23.810859375,22187,17.129068679338584,1006.5026803424362,56.328107218772004
1676678731.7187376,0,0,0,23.8145703125,22435,17.124248667663316,1006.4971047258416,56.37477995588674
1676678732.9167993,0,0,0,23.8176953125,22666,17.10436512498466,1006.5024748304193,56.32982752852715
1676678734.1154485,0,0,0,23.820234375,22854,17.104496147789973,1006.494885268844,56.39335879035468
1676678735.313543,0,0,0,23.82375,24115,17.099666792168698,1006.4940963934034,56.399962389334846
1676678736.5115352,0,0,0,23.8262890625,24261,17.089776820120385,1006.4984595484417,56.36343889874197
1676678737.710048,0,0,0,23.828046875,24613,17.094877863626145,1006.4963575170749,56.381034755947475
1676678738.9086008,0,0,0,23.8294140625,24807,17.084927767894463,1006.493584210772,56.404249822174215
1676678740.1066422,0,0,0,23.831953125,25004,17.09006890280622,1006.4928246267872,56.410608231831254
1676678741.3045778,0,0,0,23.833515625,25204,17.100170644625432,1006.4955096182745,56.38813242545231
1676678742.5025303,0,0,0,23.835078125,25363,17.100251265767326,1006.4947794547917,56.394244549170836
1676678743.7010484,0,0,0,23.83625,25628,17.105322679080864,1006.4967931952659,56.377387742639414
1676678744.8991857,0,0,0,23.8376171875,25748,17.10539324300784,1006.5042653177608,56.31483964157194
1676678746.0971751,0,0,0,23.83859375,25960,17.10544364642704,1006.5008206801441,56.343674178600814
1676678747.2893198,0,0,0,23.839375,26270,17.105483969530923,1006.500455586006,56.34673033072502
1676678748.4875047,0,0,0,23.84015625,26443,17.100513293525594,1006.498382896073,56.36408054617776
1676678749.6856482,0,0,0,23.8403515625,26667,17.100523371792615,1006.495303333569,56.38985921322405
1676678750.8839464,0,0,0,23.8409375,26683,17.07550183149446,1006.4980177927065,56.36713678154623
1676678752.0828042,0,0,0,23.841328125,26878,17.065502769374255,1006.500396632599,56.34722382156176
1676678753.281132,0,0,0,23.841328125,26993,17.070512256422617,1006.500396632599,56.34722382156176
1676678754.4798357,0,0,0,23.84328125,27277,17.04055907667328,1006.5088756656193,56.27624724664027
1676678755.6785145,0,0,0,23.84484375,27395,17.03563122763914,1006.5047302451037,56.31094781169431
1676678756.8767838,0,0,0,23.846015625,27515,17.015660715374043,1006.4982059444679,56.365561786184884
1676678758.0748181,0,0,0,23.84796875,27863,17.025776061595124,1006.496439313222,56.380350049471744
1676678759.2733908,0,0,0,23.8497265625,27951,17.005837184036906,1006.5011675057841,56.34077095035728
1676678760.4720879,0,0,0,23.8516796875,28165,17.005937475544503,1006.4994008408813,56.355559460148335
1676678761.670755,0,0,0,23.8520703125,28255,16.99594416390638,1006.4932415849381,56.40711791193067
1676678762.8694494,0,0,0,23.8536328125,28383,16.99101797785307,1006.4993417761257,56.356053883484165
1676678764.0681753,0,0,0,23.855390625,28493,16.996114574967137,1006.4989470765412,56.35935786264349
1676678765.2662568,0,0,0,23.8563671875,28641,16.98114610463754,1006.4989175293365,56.35960519851584
1676678766.4649827,0,0,0,23.85734375,28884,16.97619041348268,1006.5057185285739,56.30267505908043
1676678767.6636791,0,0,0,23.858515625,28979,16.961234437965345,1006.5060246015474,56.30011297567958
1676678768.8620195,0,0,0,23.860859375,29113,16.956349565167883,1006.5083443797444,56.2806945380982
1676678770.060193,0,0,0,23.8610546875,29268,16.96136451994738,1006.4984341129282,56.36365181625356
1676678771.258181,0,0,0,23.8630078125,29385,16.941445985511542,1006.5052055732328,56.30696892005579
1676678772.4561386,0,0,0,23.8645703125,29503,16.921510763299178,1006.5078905083328,56.284493809544514
1676678773.654909,0,0,0,23.86671875,29582,16.91661732555747,1006.5098746349875,56.26788507211803
1676678774.8530617,0,0,0,23.8673046875,29721,16.901638717999262,1006.5177121444982,56.20227906707126
1676678776.0517929,0,0,0,23.86828125,29701,16.886681962873304,1006.5176825731965,56.202526600920635
1676678777.2499337,0,0,0,23.86984375,30066,16.901768399380177,1006.5135368386526,56.23722954879113
1676678778.4479742,0,0,0,23.871796875,30127,16.89186342165234,1006.5151853333161,56.22343038214494
1676678779.6460495,0,0,0,23.87375,30231,16.886961061566804,1006.5134184576127,56.23822048973457
1676678780.8448308,0,0,0,23.87453125,30293,16.881999075381326,1006.509637869262,56.26986699045442
1676678782.043159,0,0,0,23.8774609375,30397,16.88214856060793,1006.5095490105473,56.270610809005646
1676678783.2413936,0,0,0,23.8801953125,30481,16.88729001967977,1006.5125398977457,56.24557471886987
1676678784.4399412,0,0,0,23.8837109375,30630,16.867462838422824,1006.5100423978749,56.26648076290678
1676678785.6389284,0,0,0,23.8852734375,30651,16.877545424255164,1006.5127272868117,56.24400612626372
1676678786.8371441,0,0,0,23.8878125,30865,16.862670807012755,1006.5085516430709,56.27895957659077
1676678788.0359268,0,0,0,23.888984375,30930,16.85272883785735,1006.4986112493442,56.36216902948996
1676678789.2347395,0,0,0,23.892109375,30909,16.852888058935097,1006.5005654838789,56.345810390858716
1676678790.4329925,0,0,0,23.8950390625,31105,16.83303621013843,1006.5107227759731,56.26078545735325
1676678791.631065,0,0,0,23.8985546875,31061,16.83321515499965,1006.5048094834974,56.310284520352745
1676678792.8296497,0,0,0,23.901875,31326,16.83838421043101,1006.5002682269069,56.34829868796952
1676678794.0279515,0,0,0,23.9059765625,31437,16.82859306574479,1006.5039003345992,56.3178948562656
1676678795.2267241,0,1,1,23.9096875,31460,16.833781856849818,1006.5000301089937,56.35029194060668
1676678796.4254544,0,1,1,23.91359375,31505,16.81898141084883,1006.4999109459218,56.35128943860299
1676678797.6234758,0,1,1,23.914765625,31663,16.82404058794516,1006.4968011635253,56.37732104124091
1676678798.8216624,0,0,0,23.917890625,31731,16.809201428527505,1006.5004629052514,56.34666906233582
1676678800.019801,0,0,0,23.919453125,31709,16.80928087179715,1006.4997320711662,56.35278677522168
1676678801.217765,0,0,0,23.92140625,31709,16.80938017769737,1006.5116270591008,56.253215893537025
1676678802.4157875,0,0,0,23.923359375,31892,16.819478194921146,1006.5115674181441,56.25371513527041
1676678803.6140268,0,0,0,23.925703125,31915,16.81459793503142,1006.5087633166701,56.27718769783961
1676678804.81205,0,0,0,23.927265625,32101,16.814677405921252,1006.5063246168693,56.29760160043935
1676678806.0105524,0,0,0,23.9286328125,32171,16.81474694400778,1006.5086737791094,56.2779371994036
1676678807.20906,0,0,0,23.931171875,32242,16.814876088788093,1006.5096208479532,56.27000947242715
