Time,Counts
1679695699.7221186,51
1679695709.722254,46
1679695719.7223258,49
1679695729.7224224,52
1679695739.7225792,41
1679695749.7227454,39
1679695759.722853,49
1679695769.7229607,48
1679695779.7230732,50
1679695789.7231896,41
1679695799.7233045,47
1679695809.7234142,52
