Time,Counts
1679695976.1139195,14
1679695986.1140509,14
1679695996.1141667,16
1679696006.1142788,15
1679696016.1144152,11
1679696026.1145294,17
1679696036.114643,14
1679696046.1147516,16
1679696056.1148593,12
1679696066.114966,14
1679696076.1150756,17
1679696086.115181,6
