Time,Counts
1679697974.265646,4
1679697984.26578,9
1679697994.2658906,4
1679698004.2659957,4
1679698014.266105,6
1679698024.2662148,4
1679698034.2663245,2
1679698044.266434,12
1679698054.2665372,4
1679698064.266647,8
1679698074.266753,7
1679698084.2668555,9
